Rule,Semantic text,Improved version,Category,Sate
"IF (rear, of, vehicle), THEN (self, turn, wheel)",if the rear of your vehicle is skidding to the right turn the wheel to the right,"IF (self, rear, skid right, THEN (self, turn, wheel right)",Safety Hazards,PN
"IF (water, on, road), THEN NOT(thing, do, route)",if there is moving water on the road the safest thing to do is find another route,"IF (water, on, road), THEN NOT(continue, do, route)",Safety Hazards,PN
"IF NOT(self, pumping, brake), THEN (self, Use, parking)",use the parking emergency brake if pumping the brake pedal does not work,"IF NOT(self, pumping, brake), THEN (self, Use, parking break)",Safety Hazards,PN
"IF (self, isA, track), THEN (sign, below, crossbuck)",if there is more than one track a sign below the crossbuck indicates the number of tracks at the crossing,"IF (self, ismore, track), THEN (sign, below, crossbuck)",Road Signs,OH
"IF (self, isA, track), THEN (tracks, before, crossing)",if there is more than one track make sure all tracks are clear before crossing,"IF (self, isA, track), THEN (cleartracks, before, crossing)",Vehicle Behavior,OH
"IF (self, hasA, tracks), THEN (self, keep, train)",once you have started to cross the tracks keep going especially if you see a train approaching,"IF (self, in, tracks), THEN (self, keep, going)",Vehicle Behavior,OH
"IF (vehicle, hasA, transmission), THEN (self, shift, tracks)",if your vehicle has a manual transmission shift down before reaching the tracks,"IF (vehicle, hasA, transmission), THEN (self, shift-down, tracks)",Vehicle Behavior,OH
"IF (car, per, hour), THEN (traffic, as, fast)",if your car is moving 30 miles per hour it will be nearly impossible to merge with traffic moving almost twice as fast,"IF (self, moving, 30mpg), THEN NOT (self, able, merge)",Vehicle Behavior,OH
"IF (self, miss, exit), THEN (self, take, one)",if you miss your exit take the next one,"IF (self, miss, exit), THEN (self, take, nextone)",Vehicle Behavior,OH
"IF (lane, isA, possible), THEN AND((self, reduce, speed), (proceed, with, caution))",if a lane change is not possible reduce speed and proceed with caution,"IF NOT(lanechange, isA, possible), THEN AND((self, reduce, speed), (proceed, with, caution))",Vehicle Behavior,IL
"IF (intersection, with, traffic), THEN (remain, until, emergency)",if stopped at an intersection with two-way traffic remain stopped until the emergency vehicle passes through the intersection,"IF AND(self, in, two-way intersection)(emergency vehicle, coming, through), THEN (remain, stop, emergency vehicle passes)",Vehicle Behavior,IL
"IF (self, isA, line), THEN (stop, before, crosswalk)",if there is no stop line stop before the crosswalk,"IF NOT (stop, isA, line), THEN (stop, before, crosswalk)",Road Signs,IL
"IF (area, isA, clear), THEN AND((self, give, signal), (self, move, left))",if the area is clear give the signal and carefully move into the left lane,"IF (left tarea, isA, clear), THEN AND((self, give, signal), (self, move, left))",Vehicle Behavior,IL
"IF (area, isA, clear), THEN AND((self, give, signal), (self, move, lane))",if the area is clear give the signal and carefully move into the right lane,"IF (right area, isA, clear), THEN AND((self, give, signal), (self, move, lane))",Vehicle Behavior,IL
"IF (self, isA, room), THEN NOT(self, do, tracks)",if there is not enough room do not cross the tracks,"IF NOT(self, isA, room), THEN NOT(self, cross, tracks)",Vehicle Behavior,IL
"IF (vehicle, hasA, transmission), THEN (self, shift, tracks)",if a vehicle has a manual transmission shift down before reaching the tracks,"IF (vehicle, hasA, manual transmission), THEN (self, shift down, before tracks)",Vehicle Behavior,IL
"IF (self, isA, sidewalk), THEN OR((stop, at, point), (roadway, of, traffic))",if there is no sidewalk stop at a point nearest the street or roadway where there is a view of approaching traffic,"IF NOT (self, isA, sidewalk), THEN OR((stop, at, point), (roadway, of, traffic))",Road Signs,IL
"IF AND((self, park, uphill), (self, isA, curb)), THEN (front, from, curb)",if you park facing uphill and there is a curb turn the front wheels away from the curb,"IF AND((self, park, uphill), (self, isA, curb)), THEN (frontwheels, awayfrom, curb)",Vehicle Behavior,IL
"IF (feet, of, space), THEN (drivers, until, safely)",if there is not 3 feet of passing space drivers must wait to pass until they can do so safely,"IF NOT(3 feet, of, space cyclist), THEN (drivers, wait until, safely pass)",Vehicle Behavior,IL
"IF (self, isA, line), THEN (stop, before, cross-)",if there is no stop line stop before entering the cross-walk,"IF NOT(self, isA, line), THEN (stop, before, cross-walk)",Road Signs,IL
"IF (self, isA, crosswalk), THEN (stop, before, intersection)",if there is no crosswalk stop before entering the intersection,"IF NOT(self, isA, crosswalk), THEN (stop, before, intersection)",Road Signs,IL
"IF (sign, shows, children), THEN (school, near, near)",if the sign shows two children walking a school is near,"IF (sign, shows, children), THEN (school, is, near)",Road Signs,IL
"IF (self, isA, line), THEN (stop, before, cross-)",if there is no stop line stop before entering the walk,"IF NOT (self, isA, line), THEN (stop, before, cross-walk)",Road Signs,IL
"IF (self, isA, crosswalk), THEN (stop, before, intersection)",if there is no crosswalk stop before entering the intersection,"IF NOT (self, isA, crosswalk), THEN (stop, before, intersection)",Road Signs,IL
"IF (self, isA, stop), THEN (stop, before, crosswalk)",if there is not a marked stop line stop before entering the crosswalk,"IF NOT(self, isA, stopline), THEN (stop, before, crosswalk)",Road Signs,IL
"IF (self, isA, crosswalk), THEN (stop, before, intersection)",if there is no crosswalk stop before ing the intersection,"IF NOT (self, isA, crosswalk), THEN (stop, before, intersection)",Road Signs,IL
"IF (intersection, while, light), THEN (turn, though, turns)",if you enter an intersection while the light is green you may finish the turn even though the light turns red,"IF AND ((self, enter, intersection),(light, is, green)) THEN (self, finish, turn)",Road Signs,IL
"IF (end, of, vehicle), THEN (motorist, off, gas)",if the rear end of the vehicle starts to slide a motorist should take foot off the gas pedal,"IF (self, rear, slide), THEN (motorist, off, gas)",Safety Hazards,NJ
"IF (steering, from, direction), THEN (vehicle, spin, spin)",a vehicle may spin if the steering wheel is quickly turned away from the direction of the skid,"IF (steering, away from, skid direction), THEN (vehicle, may, spin)",Safety Hazards,NJ
"IF (help, isA, needed), THEN OR((self, Tie, handkerchief), (door, as, signal))",tie a white handkerchief to the antenna or left door handle as a signal if help is needed,"IF (help, isA, needed), THEN OR((self, Tie, handkerchief), (door, as, signal))",Safety Hazards,NJ
"IF (GAS, If, gas), THEN (motorist, on, road)",gas pedal problems if a gas pedal sticks the motorist should keep eyes on the road while quickly shifting to neutral,"IF (GAS, pedal, sicks), THEN (self, shift, neutral)",Safety Hazards,NJ
"IF (self, miss, exit), THEN (self, go, one)",if you miss an exit go on to the next one,"IF (self, miss, exit), THEN (self, go, nextone)",Vehicle behavior,NJ
"IF (changes, while, driver), THEN (he/, through, caution)",if the light changes while a driver is already in the intersection she should go through with caution,"IF (lightchanges, while, intersection), THEN (he/she, through, caution)",Road Signs,NJ
"IF (devices, while, motorist), THEN (he/she, proceed, side)",if warning devices activate while a motorist is crossing railroad tracks should immediately proceed to the other side,"IF (warning, while,crossing tracks), THEN (he/she, proceed, other side)",Road Signs,NJ
"IF (self, isA, night), THEN (turn, on, dome)",if you are stopped at night turn on your dome interiorlights,"IF (self, isstoped, night), THEN (turn, on, domeinteriorlights)",Vehicle behavior,NJ
"IF (motorist, pull, road), THEN (he/she, on, vehicles)",if a motorist must pull off the road should always turn on the vehicles emergency flashers hazard lights,"IF (motorist, pull, road), THEN (he/she, on, hazardlights)",Vehicle behavior,NJ
"IF OR((change, in, road), (turn, if, vehicle)), THEN (gust, of, wind)",a gust of wind a change in road level or a slight turn can create a skid if a vehicle is hydroplaning,"IF OR((change, in, road level), (gust, of, wind)), THEN (self, is, skid)",Safety Hazards,NJ
"IF (wheels, spin, spin), THEN (gear, isA, used)",if the wheels spin a lower gear should be used,"IF (wheels, spin, spin), THEN (lowergear, isA, used)",Safety Hazards,NJ
"IF (self, isA, traffic signal), THEN (self, isA, traffic)",if there are no traffic signals there is no traffic control,"IF NOT(self, isA, traffic signal), THEN NOT(self, isA, trafficControl)",Road Signs,NJ
"IF (vehicle, isA, fast), THEN (motorist, in, time)",if a vehicle is moving too fast the motorist may not be able to slow down in time,"IF (vehicle, isA, fast), THEN NOT (motoristslow, in, time)",Vehicle behavior,NJ
"IF (motorist, encounters, animal), THEN (he/she, until, animal)",if a motorist encounters an animal should slow down until the animal has passed,"IF (motorist, encounters, animal), THEN (he/sheslow, until, animalpassed)",Safety Hazards,NJ
"IF (HOOD, If, vehicles), THEN (motorist, slow, immediately)",hood latch failure if the vehicles hood suddenly flies up the motorist should slow down immediately,"IF (HOOD, flies, up), THEN (motorist, slow, immediately)",Safety Hazards,NJ
"IF (crash, looks, possible), THEN (motorist, from, traffic)",if a crash looks possible the motorist should turn away from oncoming traffic even if it means leaving the road,"IF (crash, looks, possible), THEN (motorist, awayfrom, traffic)",Safety Hazards,NJ
"IF (self, hitting, something), THEN (try, make, blow)",if hitting something is unavoidable try to make it a glancing blow,"IF (self, hitting, something), THEN (try, make, glancingblow)",Safety Hazards,NJ
"IF (vehicle, than, sign), THEN NOT(Do, proceed, proceed)",do not proceed if your vehicle is taller than the height shown on the sign,"IF (vehicle, tallerthan, height), THEN NOT(Do, proceed, proceed)",Road Signs,VG
"IF (self, isA, track), THEN (trains, from, direction)",if there is more than one track trains may be approaching from either direction on either track,"IF (self, ismore, tracks), THEN (trains, fromeither, direction)",Vehicle Behavior,VG
"IF (self, turning, light), THEN AND((drivers, signal, signal), (yield, on, right))",if turning right on a green light drivers must signal and yield to bicycles on the right,"IF (self, turning, greenlight), THEN AND((drivers, signal, signal), (yield, bicycleson, right))",Vehicle Behavior,VG
"IF (self, hasA, transponder), THEN AND((toll, for, for), (signs, with, E-ZPass))",if you have a transponder as you approach a toll plaza look for and follow signs with the purple logo,"IF (self, hasA, transponder), THEN AND((look, for, toll), (signs, with, E-ZPass))",Road Signs,VG
"IF NOT(self, do, transponder), THEN AND((toll, for, for), (signs, for, cash))",if you do not have a transponder as you approach a toll plaza look for and follow signs for cash only lanes,"IF NOT(self, do, transponder), THEN AND((look, for, toll), (signs, for, cash))",Road Signs,VG
"IF OR((bus, isA, loading), AND((self, unloading, passengers), (signals, on, on))), THEN (↨You, stop, stop)",must also stop if the bus is loading or unloading passengers and the signals are not on,"IF OR((schoolbus, isA, loading), AND((schoolbus, unloading, passengers), (signals, on, on))), THEN (You, stop, stop)",Vehicle Behavior,VG
"IF (self, isA, lanes), THEN AND((self, reduce, speed), (proceed, with, caution))",if you are unable to safely change lanes reduce your speed and proceed with caution,"IF (self, change, lanes), THEN AND((self, reduce, speed), (proceed, with, caution))",Vehicle Behavior,VG
"IF (flow, of, traffic), THEN (self, Yielding, Yield)",yielding the yield also means to stop if you can not merge safely into the flow of traffic,"IF NOT(mergeflow, of, traffic), THEN (self, Yielding, Yield)",Road Signs,VG
"IF (lane, for, clearance), THEN (motorist, change, lanes)",if the lane is not wide enough to allow for a clearance the motorist must change lanes,"IF NOT(lane, wide, three-footclearance), THEN (motorist, change, lanes)",Vehicle Behavior,VG
"IF (self, park, shoulder), THEN (pull, over, shoulder)",if you park on a shoulder pull over as far on the shoulder as possible,"IF (self, park, shoulder), THEN (pull, over, farshoulder)",Vehicle Behavior,VG
"IF (self, see, driver), THEN (self, stay, way)",if you see an aggressive driver stay out of the way,"IF (self, see, agresivedriver), THEN (self, stay, away)",Vehicle Behavior,VG
"IF (self, isA, danger), THEN (tap, on, horn)",if there is no immediate danger a light tap on the horn should be all you need,"IF NOT(self, isA, danger), THEN (tap, on, horn)",Safety Hazards,WA
"IF (self, isA, danger), THEN (blast, on, horn)",if there is danger do not be afraid to sound a sharp blast on your horn,"IF (self, isA, danger), THEN (blast, on, horn)",Safety Hazards,WA
"IF (self, starts, day), THEN (pavement, isA, surface)",if it starts to rain on a hot day pavement can be very slippery for the first few minutes asphalt to come to the surface,"IF AND(day, starts, raining),(day, is, hot), THEN (pavement, isA, slippery)",Environmental Conditions,WA
"IF (self, isA, lane), THEN (wait, until, road)",if there is no right lane wait until the road ahead is clear then reduce speed slowly,"IF (vehicle, tailgating, self),NOT(self, move, right lane), THEN (self, reduce, speed)",Vehicle Behavior,WA
"IF (self, isA, one), THEN (move, over, lane)",if there is no one next to you move over a lane,"IF ((self, is, multiple lanes),(vehicle, is, entering)), THEN (move, over, lane)",Vehicle Behavior,WA
"IF (self, want, lanes), THEN (self, take, time)",if you want to move over several lanes take them one at a time,"IF (self, want move, several lanes), THEN (self, move, one-at-a-time)",Vehicle Behavior,WA
"IF (self, hasA, light), THEN (intersection, if, vehicles)",even if you have a green light do not start across an intersection if there are vehicles blocking your way,"IF AND((self, hasA, green light),(vehicles,in,intersection)), THEN NOT(self, go through, intersection)",Vehicle Behavior,WA
"IF OR((view, by, curve), (hill, in, roadway)), THEN (Assume, out, sight)",assume there is an oncoming vehicle out of sight if your view is blocked by a curve or a hill in the roadway,"IF OR((view blocked, by, curve), (hill, in, roadway)), THEN (Assume, vehicle, out sight)",Vehicle Behavior,WA
"IF (self, isA, railroad), THEN NOT(Railroad, grade, Do)",railroad grade crossing do not pass if there is a railroad grade crossing ahead,"IF (self, want pass, vehicle)(railroad, is, ahead), THEN NOT(self, pass, vehicle)",Vehicle Behavior,WA
"IF (Freeway, If, assistance), THEN (pull, over, shoulder)",stopping on the freeway if you need assistance pull over onto the right shoulder as far as possible,"IF (Freeway, need, assistance), THEN (pull, over, shoulder)",Safety Hazards,AZ
"IF (self, hasA, intersection), THEN (self, come, stop)",if you have not entered the intersection you should come to a safe stop,"IF NOT(self, hasentered, intersection), THEN (self, come, stop)",Vehicle Behavior,AZ
"IF (roadway, isA, clear), THEN (intersection, in, direction)",you may go through an intersection in the direction indicated by the signal if the roadway is clear,"IF (roadway, isA, clear), THEN (gointersection, in, signaldirection)",Vehicle Behavior,AZ
"IF (roadway, isA, clear), THEN AND((self, Flashing, Yellow), (proceed, with, caution))",flashing yellow light a flashing yellow light means you should slow down and proceed with caution if the roadway is clear,"IF (roadway, isA, clear), THEN AND((lights, Flashing, Yellow), (proceed, with, caution))",Road Signs,AZ
"IF (roadway, isA, clear), THEN AND((self, Flashing, Yellow), (turn, with, caution))",flashing yellow arrow a flashing yellow arrow means you should slow down and turn with caution if the roadway is clear,"IF (roadway, isA, clear), THEN AND((lights, Flashing, Yellow), (turn, with, caution))",Road Signs,AZ
"IF (arm, isA, out), THEN (school, with, lights)",you must stop for any school bus with flashing lights if its arm is out,"IF AND((arm, isA, out), (school, with, lights)), THEN (self, must,stop)",Vehicle Behavior,AZ
"IF (line, on, side), THEN (self, pass, roadway)",if the broken yellow line is on your side you may pass when the roadway ahead is clear,"IF (broken line, on, side), THEN (self, pass, roadway)",Road Signs,AZ
"IF (self, find, vehicles), THEN NOT(Do, become, impatient)",do not become impatient if you find yourself behind one of these slow vehicles,"IF (self, behind, slowvehicles), THEN NOT(Do, become, impatient)",Vehicle Behavior,AZ
"IF (traffic, stops, suddenly), THEN AND((distance, between, you), (vehicles, avoid, crash))",you need to keep enough following distance between you and the vehicles ahead to avoid a crash if the traffic stops suddenly,"IF (traffic, stops, suddenly), THEN AND((enoughdistance, between, you), (vehicles, avoid, crash))",Vehicle Behavior,AZ
"IF (self, isA, trailer), THEN (wind, cause, vehicle)",if you are pulling a trailer the wind may cause your vehicle to sway,"IF (self, has, trailer), THEN (wind, cause, sway)",Safety Hazards,AZ
"IF (self, isA, trailer), THEN (currents, cause, vehicle)",if you are pulling a trailer wind currents can cause your vehicle to jackknife,"IF (self, has, trailer), THEN (currents, cause, jackknife)",Safety Hazards,AZ
"IF (self, encounter, dust), THEN (self, Reduce, speed)",if you encounter a severe dust storm reduce your speed immediately,"IF (self, encounter, duststorm), THEN (self, Reduce, speed)",Environmental Conditions,AZ
"IF (self, hasA, windshield), THEN (blades, cause, smearing)",the blades may cause smearing if you have a dirty windshield,"IF (self, hasdirty, windshield), THEN (blades, cause, smearing)",Environmental Conditions,AZ
"IF (wheels, lock, lock), THEN (ease, off, brakes)",if the wheels should lock ease slightly off the brakes but do not release them completely,"IF (wheels, should, lock), THEN (ease, off, brakes)",Safety Hazards,AZ
"IF NOT(self, pumping, brakes), THEN (self, apply, parking)",if pumping the brakes does not work slowly apply the parking brake,"IF NOT(work, pumping, brakes), THEN (self, apply, parkingslowly)",Safety Hazards,AZ
"IF (self, isA, lines), THEN (intersection, as, traffic)",if there are no lines you must stop as close to the intersection as needed to see traffic in both directions,"IF NOT(intersection, has, lines), THEN (self, stop, close intersection)",Road Signs,MA
"IF (self, isA, light), THEN (self, yield, traffic)",if you are turning left on a steady green light you must yield to oncoming traffic,"IF (self, turn left, green light), THEN (self, yield, traffic)",Road Signs,MA
"IF (track, crosses, road), THEN (number, of, tracks)",if more than one track crosses a road the number of tracks is posted below the crossbuck,"IF (self, crosses, more one track), THEN (crossbuck, number of, tracks)",Road Signs,MA
"IF (line, isA, you), THEN NOT(self, cross, lines)",if the solid yellow line is closer to you you can not cross the lines,"IF (yellow line, isA, closer), THEN NOT(self, cross, lines)",Road Signs,MA
"IF (signals, on, vehicle), THEN (hand, on, page)",if the electronic signals on your vehicle are not working you must use the three hand signals shown on the next page,"IF NOT(signals, on, vehicle), THEN (self, use, hand signals)",Vehicle Behavior,MA
"IF (self, isA, drivers), THEN (drive, through, spot)",if you are in another drivers blind spot safely drive through the blind spot as quickly as you can,"IF (self, isA, drivers blind spot), THEN (drive, through, spot)",Vehicle Behavior,MA
"IF (NO, isA, posted), THEN NOT(self, make, U-turn)",you can not make a if a no sign is posted,"IF (NO U-turn, isA, posted), THEN NOT(self, make, U-turn)",Road Signs,MA
"IF (self, travel, lane), THEN AND((stay, with, flow), NOT(self, do, speed))",if you travel in the second lane stay with the flow of traffic and do not drive below the minimum speed limit,"IF (self, travel, second lane), THEN AND((stay, with, flow), NOT(self, do, bellow speed))",Vehicle Behavior,MA
"IF (driving, as, part), THEN (self, Drive, times)",if driving as part of a funeral procession you must drive carefully at all times,"IF (driving, as, funeral procesion), THEN (self, Drive, carefully)",Vehicle Behavior,MA
"IF (emergency, from, direction), THEN (side, of, road)",if an emergency vehicle is coming from any direction you must pull as close as possible to the right side of the road,"IF (emergency vehicle, from , direction), THEN (self, pull, right side)",Vehicle Behavior,MA
"IF (self, isA, highway), THEN (accelerate, in, lane)",if you are on a highway accelerate to a safe speed in the breakdown lane before merging into traffic,"IF (self, isA, highway), THEN (accelerate, in, breakdown lane)",Vehicle Behavior,MA
"IF NOT(self, slow, vehicle), THEN AND((self, sound, horn), OR((self, flash, lights), (pedestrians, around, you)))",if you can not slow your vehicle sound your horn and flash your lights to warn drivers or pedestrians around you,"IF NOT(self, slow, vehicle), THEN AND((self, sound, horn), (self, flash, lights))",Safety Hazards,MA
"IF (traffic, isA, slowly), THEN (distance, from, vehicles)",keep a safe distance from other vehicles even if traffic is moving slowly,"IF (traffic, isA, slowly), THEN (keep distance, from, vehicles)",Vehicle Behavior,MA
"IF (self, isA, slip), THEN (lef, from, slip)",if there is a slip lane the lef t turn mustbe made from the slip lane,"IF (self, isA, sliplane), THEN (leftturn, from, slip)",Road Signs,QL
"IF (road, with, turn), THEN (self, follow, turn)",if the road is marked with turn lines to show the path to take when turning follow the turn lines,"IF (road, with, turnsigns), THEN (self, follow, turnsigns)",Road Signs,QL
"IF (arrows, indicate, w), THEN (self, drive, directions)",if the arrows indicate t w o o r more directions you may drive in any of the directions indicated,"IF (arrows, indicate, twodirections), THEN (self, drive, directions)",Road Signs,QL
"IF (self, continuing, road), THEN (Vehicle, indicate, right)",vehicle must indicate right if the continuing road curves to the lef t,"IF (self, continuingroad, left), THEN (Vehicle, indicate, right)",Vehicle Behavior,QL
"IF (self, continuing, road), THEN (Vehicle, indicate, lef)",vehicle must indicate lef t if the continuing road curves to the right,"IF (self, continuingroad, right), THEN (Vehicle, indicate, left)",Vehicle Behavior,QL
"IF (self, turn, intersection), THEN (self, give, way)",if you turn at the intersection you must also give way to pedestrians crossing the roadyou are entering,"IF (self, turn, intersection), THEN (self, giveway,  pedestrians)",Vehicle Behavior,QL
"IF (self, isA, line), THEN (whereyou, of, intersection)",if there is nostop line you should stop whereyou have a clearview of the intersection before entering it,"IF NOT (self, isA, line), THEN (stop, clearview of, intersection)",Vehicle Behavior,QL
"IF OR((vehicle, at, pedestrian), (childrens, crossing, crossing)), THEN NOT(self, take, stoppedvehicle)",if a vehicle has stopped to give way at a pedestrian or childrens crossing you must not over take the stoppedvehicle,"IF OR((vehicle, at, pedestrian), (childrens, crossing, crossing)), THEN NOT(self, overtake, stoppedvehicle)",Vehicle Behavior,QL
"IF (self, isA, slip), THEN (lef, from, slip)",if there is a slip lane the lef t turn must be made from the slip lane,"IF (self, isA, sliplane), THEN (left turn, from, sliplane)",Road Signs,QL
"IF (people, in, thevehicle), THEN (Transit, in, transit)",transit you can drive in the transit lane if your have at leastthree people in thevehicle,"IF (3 people, in, vehicle), THEN (Transit, in, transitlane)",Road Signs,QL
"IF (children, around, around), THEN (speed, in, schoolzones)",the speed limit in schoolzones does not apply if there are no children around,"IF NOT (children, around, schoolZone), THEN NOT(speedlimit, in, schoolzones)",Vehicle Behavior,QL
"IF (self, directed, tunnel), THEN (tunnel, except, emergency)",do not stop in a tunnel except in an emergency or if directed by the tunnel controller,"IF (self, directed, tunnel), THEN NOT (stop, except, emergency)",Vehicle Behavior,QL
"IF (self, isA, STOP), THEN (view, of, intersection)",if there is no stop line you should stop where you have a clear view of the intersection before entering it,"IF NOT(self, isA, STOP line), THEN (self, stop, view intersection)",Road Signs,QL
"IF OR((self, isA, fog), (weather, causing, visibility)), THEN (lights, on, on)",you may only drive with fog lights on if you are in fog or hazardous weather conditions causing reduced visibility,"IF OR((self, isA, fog), (weather, causing, no visibility)), THEN (self, fog ligths, on)",Environmental Conditions,QL
"IF (Towline, If, car), THEN (towline, isA, than4m)",towline if you are towing a car with a towline the towline must not be more long,"IF (self, tow, car), THEN (towline, isA, 4m)",Vehicle Behavior,QL
"IF (self, isA, traffic light), THEN (wait, until, light)",if there are traffic lights wait until you are facing a green light beforemoving forward,"IF (self, isA, traffic light), THEN (wait, until, green light)",Road Signs,QL
"IF (self, isA, vehicle), THEN (wait, until, escort)",if you are following an oversize vehicle wait until the rear escort vehicle operator signals you can overtake,"IF (self, following , oversized vehicle), THEN (wait, until, escort signals)",Vehicle Behavior,QL
"IF (vehicle, on, fuel), THEN NOT(Do, enter, tunnel)",do not enter a tunnel if your vehicle is very low on fuel,"IF (vehicle, low on, fuel), THEN NOT(Do, enter, tunnel)",Vehicle Behavior,QL
"IF (self, isA, moving), THEN (left, allow, trafc)",if you are driving a slow moving vehicle pull well over to the left to allow following trafc to overtake,"IF (self, isA, movingslow), THEN (moveleft, allow, traffic)",Vehicle Behavior,WEA
"IF (light, as, ed), THEN (self, YOU, CAN)",if the light is yellow as you approach it you are requir ed to stop if you can do so safely,"IF (light, is, yellow), THEN (self, stop, safetly)",Road Signs,WEA
"IF (self, isA, Way), THEN (intersection, as, as)",treat the intersection as if you are facing a give way sign,"IF NOT(intersection, sign, working), THEN (intersection, as, give way sign)",Environmental Conditions,WEA
"IF (part, of, vehicle), THEN NOT(self, merging, way)",during merging you must give way to another vehicle if any part of the other vehicle is ahead of your vehicle,"IF (part, of, vehicle front of you), THEN(self, give, way)",Vehicle Behavior,WEA
"IF (self, isA, line), THEN (stop, as, intersection)",if there is no line stop as close to the intersection as practicable but before entering it,"IF NOT(self, isA, line), THEN (stop, as, intersection)",Environmental Conditions,WEA
"IF AND((vehicle, develops, engine), (begins, slow, slow)), THEN (move, as, trafc)",if your vehicle develops engine trouble and begins to slow move to the left as far as possible from trafc,"IF AND((vehicle, developstrouble, engine), (begins, slow, slow)), THEN (move, leftfrom, traffic)",Safety Hazards,WEA
"IF (self, drive, bicycle), THEN (use, avoid, bicyclists)",if you drive a motorized bicycle use caution to avoid other bicyclists,,,CA
"IF (self, isA, limit), THEN (stop, before, crosswalk)",if there is no limit line stop before you enter the crosswalk,,,CA
"IF (self, isA, crosswalk), THEN (stop, before, i)",if there is no crosswalk stop before you enter the i nter se ctio n,,,CA
"IF (opening, in, center), THEN (self, divided, highway)",on a divided highway only if an opening is provided in the center div id er,,,CA
"IF (self, drive, vehicle), THEN (self, isA, vehicle)",if you drive a noncommercial vehicle you are usually required to stay with your vehicle,,,CA
"IF NOT(driver, does, documents), THEN (ocers, for, them)",if a driver does not produce these documents ocers may conduct a limited search for them,,,CA
"IF AND((ocer, does, something), (self, believe, rights)), THEN NOT(self, voice, objection)",if an ocer does something that you believe violates your rights you can voice your objection but you should not physically resist,,,CA
"IF (self, turn, light), THEN NOT(self, Do, NO)",you can turn right at a red light if you do not see a no turn on red sign posted,,,CA
"IF (eye, with, you), THEN (self, isA, street)",if a pedestrian makes eye contact with you they are ready to cross the street,,,CA
"IF (orders, if, ict), THEN (signals, o, r)",follow their orders even if they c o n ict with ex is ting signs signals o r laws,,,CA
"IF (Blind, blind, if), THEN (stop, at, corner)",blind inter sections an intersection is considered blind if it has no stop signs at any corner,,,CA
"IF AND((self, isA, driver), (self, isA, vehicle)), THEN (self, isA, school)",if you are a commercial driver and are cited in a noncommercial vehicle you may also be eligible to at tend trac school,,,CA
"IF NOT(driver, makes, mistake), THEN (self, gives, time)",this gives you time to react if another driver makes a mistake,,,CA
"IF (driver, in, front), THEN (self, hasA, time)",you also will not have enough time to react if the driver in front of you brakes suddenly,,,CA
"IF (point, before, counting), THEN (self, isA, closel)",if you pass the same point before you nish counting you are following to o closel y,,,CA
"IF (vehicle, isA, you), THEN (Check, behind, know)",check trac behind you often to know if another vehicle is tailgating you,,,CA
"IF (vehicles, isA, bright), THEN (Do, into, headlights)",if another vehicles lights are too bright do not look directly into the oncoming headlights,,,CA
"IF (vehicle, by, gust), THEN (self, hasA, time)",you will have more time to react if your vehicle gets hit by a strong gust of wind,,,CA
"IF (self, isA, wheel), THEN (steering, out, hands)",if you are not holding the wheel properly and a gust hits it can jerk the steering wheel out of your hands,,,CA
"IF (passenger, under, years), THEN (ticket, if, seat)",if your passenger is under years old you can also get a ticket if they are not wearing their seat belt,,,CA
"IF (self, isA, side), THEN AND((impact, push, back), (th, across, seat))",if you are struck from the side the impact could push you back and for th across the seat,,,CA
"IF (seat, if, if), THEN (self, isA, seat)",they may ride in the front seat if there is no rear seat,,,CA
"IF (danger, than, other), THEN (self, give, space)",if one danger is greater than the other give more space to the most dangerous situation,,,CA
"IF (self, isA, hit-and-run), THEN (punishment, isA, severe)",the punishment is severe if you are convicted of a hit-and-run,,,CA
"IF (anyone, isA, hurt), THEN (self, Call, right)",call right away if anyone is hurt,,,CA
"IF (self, fail, repor), THEN (self, driving, privilege)",your driving privilege will be suspended if you fail to le a repor t,,,CA
"IF (t, of, vehicle), THEN (Exit, on, side)",exit on the right side so you are away from trac if you must get ou t of the vehicle,,,CA
"IF NOT(FSP, star, vehicle), THEN (self, hasA, charge)",if fsp can not star t your vehicle they will have it towed free of charge to a location,,,CA
"IF AND(NOT(self, do, train), (warning, isA, hing)), THEN (self, Exit, vehicle)",if you do not see a train approaching and the warning l ights are not hing exit your vehicle,"IF AND(NOT(self, see, train), NOT(warning, isA, flashing)), THEN (self, Exit, vehicle)",,CA
"IF (motorists, in, ic), THEN (Lane-use, isA, signals)",control signals are overhead signals indicating if motorists should drive in a specific lane,,,TX
"IF (self, reduce, speed), THEN (self, make, truck)",youll make it easier for the truck driver if you slightly reduce your speed,,,TX
"IF (he/she, hasA, lanes), THEN (self, Staying, center)",staying in the center lane also increases the truck drivers options if has to switch lanes to avoid a crash,,,TX
"IF (rider, for, it), THEN (gust, of, wind)",strong winds a strong gust of wind can move a motorcycle across an entire lane if the rider isnt prepared for it,,,TX
"IF (self, isA, shoulder), THEN (pull, as, can)",if there is a roadside shoulder pull as far onto it as you can,,,FL
"IF (sidewalk, isA, available), THEN (Pedestrians, on, roadway)",pedestrians must not walk on the roadway if a sidewalk is available,,,FL
"IF (roadway, at, point), THEN (Pedestrians, yield, right-of-way)",pedestrians must yield the to vehicles if crossing a roadway at any point other than within a crosswalk,,,FL
"IF (self, isA, something), THEN (Emergenc, below, below)",if you are about to hit something see emergenc y braking below,,,FL
